summary_id,type,return_period,loss
1,1,500.000000,9640623.000000
1,1,480.000000,9627613.000000
1,1,240.000000,5721642.500000
1,1,120.000000,2758466.500000
1,1,60.000000,730957.562500
1,1,30.000000,166273.218750
1,1,10.000000,3269.608398
1,1,5.000000,3.887859
1,1,2.000000,0.000000
1,2,500.000000,8868748.000000
1,2,480.000000,8589919.000000
1,2,240.000000,4742461.500000
1,2,120.000000,2168023.250000
1,2,60.000000,591108.750000
1,2,30.000000,88741.218750
1,2,10.000000,98.719757
1,2,5.000000,0.000000
1,2,2.000000,0.000000
